HDI rank,Country,Value (2015),Rank (2015),"Maternal mortality ratio (deaths per 100,000 live births)","Adolescent birth rate (births per 1,000 women ages 15–19)",Share of seats in parliament (% held by women),% Female population with at least some secondary education,% Male population with at least some secondary education,Female Labour force participation rate,Male Labour force participation rate
1,Norway,0.05,6.00,5.00,5.90,39.64,96.07,94.60,61.18,68.53
2,Australia,0.12,24.00,6.00,14.13,30.53,91.37,91.53,58.57,70.92
2,Switzerland,0.04,1.00,5.00,2.95,28.86,96.07,97.36,62.68,74.85
4,Germany,0.07,9.00,6.00,6.69,36.86,96.38,96.96,54.53,66.43
5,Denmark,0.04,2.00,6.00,4.04,37.43,89.08,98.53,58.04,66.16
5,Singapore,0.07,11.00,10.00,3.82,23.91,75.52,81.92,58.24,76.43
7,Netherlands,0.04,3.00,7.00,3.99,36.44,86.18,90.28,57.53,70.24
8,Ireland,0.13,26.00,8.00,10.43,19.91,86.76,82.22,52.38,67.82
9,Iceland,0.05,5.00,3.00,6.07,41.27,100.00,97.18,70.66,77.50
10,Canada,0.10,18.00,7.00,9.77,28.27,100.00,100.00,60.97,70.28
10,United States,0.20,43.00,14.00,22.63,19.48,95.43,95.08,56.01,68.43
12,"Hong Kong, China (SAR)",..,..,..,3.20,..,80.87,74.66,53.35,68.45
13,New Zealand,0.16,34.00,11.00,23.60,31.40,98.80,98.69,62.44,73.08
14,Sweden,0.05,4.00,4.00,5.66,43.55,87.77,88.26,60.86,68.24
15,Liechtenstein,..,..,..,..,20.00,..,..,..,..
16,United Kingdom,0.13,28.00,9.00,14.64,26.75,81.34,84.57,56.92,68.71
17,Japan,0.12,21.00,5.00,4.07,11.58,93.04,90.64,49.12,70.16
18,Korea (Republic of),0.07,10.00,11.00,1.62,16.33,88.84,94.56,50.01,71.82
19,Israel,0.10,20.00,5.00,9.69,26.67,87.30,90.33,58.86,69.37
20,Luxembourg,0.07,13.00,10.00,5.94,28.33,100.58,99.43,52.20,66.11
21,France,0.10,19.00,8.00,8.93,25.73,79.72,85.51,50.72,60.05
22,Belgium,0.07,12.00,7.00,8.22,42.38,80.15,84.68,48.21,59.26
23,Finland,0.06,8.00,3.00,6.52,41.50,100.00,100.00,55.03,62.14
24,Austria,0.08,14.00,4.00,7.08,30.33,98.67,99.20,54.73,66.03
25,Slovenia,0.05,6.00,9.00,3.78,27.69,96.46,98.28,52.18,62.96
26,Italy,0.08,16.00,4.00,6.01,30.07,79.09,83.30,39.31,58.14
27,Spain,0.08,15.00,5.00,8.42,37.99,70.89,76.71,52.35,64.77
28,Czech Republic,0.13,27.00,4.00,9.91,19.57,99.81,99.81,51.10,68.22
29,Greece,0.12,23.00,3.00,7.45,19.67,63.68,71.67,43.94,59.97
30,Brunei Darussalam,..,..,23.00,20.95,..,67.65,69.55,50.95,75.33
30,Estonia,0.13,28.00,9.00,13.05,23.76,100.00,100.00,55.45,69.53
32,Andorra,..,..,..,..,39.29,72.03,73.66,..,..
33,Cyprus,0.12,21.00,7.00,4.99,12.50,77.01,82.67,57.47,70.16
33,Malta,0.22,44.00,9.00,16.61,12.86,72.69,81.16,38.81,65.97
33,Qatar,0.54,127.00,13.00,10.69,0.00,70.91,67.79,53.65,94.21
36,Poland,0.14,30.00,3.00,13.40,24.82,81.08,86.94,49.14,65.26
37,Lithuania,0.12,25.00,10.00,11.00,23.40,91.05,95.62,53.91,65.46
38,Chile,0.32,65.00,22.00,47.81,15.82,76.11,76.89,50.66,74.63
38,Saudi Arabia,0.26,50.00,12.00,8.82,19.87,63.31,72.13,20.06,79.13
40,Slovakia,0.18,39.00,6.00,20.17,18.67,99.20,99.50,51.40,68.32
41,Portugal,0.09,17.00,10.00,9.87,34.78,50.78,52.22,53.58,64.17
42,United Arab Emirates,0.23,46.00,6.00,29.66,22.50,77.42,64.49,41.90,91.56
43,Hungary,0.25,49.00,17.00,17.96,10.10,95.56,97.89,46.41,62.51
44,Latvia,0.19,41.00,18.00,13.63,18.00,99.31,98.85,54.37,67.72
45,Argentina,0.36,77.00,52.00,63.82,37.08,63.51,61.36,48.39,74.47
45,Croatia,0.14,31.00,8.00,9.55,15.23,92.00,96.05,46.41,58.73
47,Bahrain,0.23,48.00,15.00,13.48,15.00,61.58,55.56,39.20,85.39
48,Montenegro,0.16,33.00,7.00,12.25,17.28,86.91,96.23,41.95,56.12
