HDI rank,Country,Rank (2015),"Maternal mortality ratio (deaths per 100,000 live births)","Adolescent birth rate (births per 1,000 women ages 15-19)",Share of seats in parliament (% held by women),% Female population with at least some secondary education,% Male population with at least some secondary education,Female Labour force participation rate,Male Labour force participation rate
1,Norway,6,5,5.9,39.64,96.07,94.6,61.18,68.53
2,Australia,24,6,14.13,30.53,91.37,91.53,58.57,70.92
3,Switzerland,1,5,2.95,28.86,96.07,97.36,62.68,74.85
4,Germany,9,6,6.69,36.86,96.38,96.96,54.53,66.43
5,Denmark,2,6,4.04,37.43,89.08,98.53,58.04,66.16
6,Singapore,11,10,3.82,23.91,75.52,81.92,58.24,76.43
7,Netherlands,3,7,3.99,36.44,86.18,90.28,57.53,70.24
8,Ireland,26,8,10.43,19.91,86.76,82.22,52.38,67.82
9,Iceland,5,3,6.07,41.27,100,97.18,70.66,77.5
10,Canada,18,7,9.77,28.27,100,100,60.97,70.28
11,United States,43,14,22.63,19.48,95.43,95.08,56.01,68.43
12,"Hong Kong, China (SAR)",,,3.2,,80.87,74.66,53.35,68.45
13,New Zealand,34,11,23.6,31.4,98.8,98.69,62.44,73.08
14,Sweden,4,4,5.66,43.55,87.77,88.26,60.86,68.24
15,Liechtenstein,,,,20,,,,
16,United Kingdom,28,9,14.64,26.75,81.34,84.57,56.92,68.71
17,Japan,21,5,4.07,11.58,93.04,90.64,49.12,70.16
18,Korea (Republic of),10,11,1.62,16.33,88.84,94.56,50.01,71.82
19,Israel,20,5,9.69,26.67,87.3,90.33,58.86,69.37
20,Luxembourg,13,10,5.94,28.33,100.58,99.43,52.2,66.11
21,France,19,8,8.93,25.73,79.72,85.51,50.72,60.05
22,Belgium,12,7,8.22,42.38,80.15,84.68,48.21,59.26
23,Finland,8,3,6.52,41.5,100,100,55.03,62.14
24,Austria,14,4,7.08,30.33,98.67,99.2,54.73,66.03
25,Slovenia,6,9,3.78,27.69,96.46,98.28,52.18,62.96
26,Italy,16,4,6.01,30.07,79.09,83.3,39.31,58.14
27,Spain,15,5,8.42,37.99,70.89,76.71,52.35,64.77
28,Czech Republic,27,4,9.91,19.57,99.81,99.81,51.1,68.22
29,Greece,23,3,7.45,19.67,63.68,71.67,43.94,59.97
30,Brunei Darussalam,,23,20.95,,67.65,69.55,50.95,75.33
31,Estonia,28,9,13.05,23.76,100,100,55.45,69.53
32,Andorra,,,,39.29,72.03,73.66,,
33,Cyprus,21,7,4.99,12.5,77.01,82.67,57.47,70.16
34,Malta,44,9,16.61,12.86,72.69,81.16,38.81,65.97
